ID,NAME,LEVEL,PRICE,VALUE,DESCRIPTION
56,MoreFuelUpgrade,1,2500,15,비행기를 상승시키기 위한 연료의 소모 속도를 낮춥니다.
57,MoreFuelUpgrade,2,4000,20,비행기를 상승시키기 위한 연료의 소모 속도를 낮춥니다.
58,MoreFuelUpgrade,3,5500,25,비행기를 상승시키기 위한 연료의 소모 속도를 낮춥니다.
59,MoreFuelUpgrade,4,7000,30,비행기를 상승시키기 위한 연료의 소모 속도를 낮춥니다.
60,MoreFuelUpgrade,5,8500,35,비행기를 상승시키기 위한 연료의 소모 속도를 낮춥니다.
61,MoreFuelUpgrade,6,10000,40,비행기를 상승시키기 위한 연료의 소모 속도를 낮춥니다.
62,MoreFuelUpgrade,7,11500,45,비행기를 상승시키기 위한 연료의 소모 속도를 낮춥니다.
63,MoreFuelUpgrade,8,13000,50,비행기를 상승시키기 위한 연료의 소모 속도를 낮춥니다.
64,MoreFuelUpgrade,9,14500,55,비행기를 상승시키기 위한 연료의 소모 속도를 낮춥니다.
65,MoreFuelUpgrade,10,16000,60,비행기를 상승시키기 위한 연료의 소모 속도를 낮춥니다.
